"string","estimate","std_error","proportion","prop_std_error","prop_low_95","prop_high_95"
"49",6738,426,0.06738,0.00426,0.0590304,0.0757296
"50",6433,905,0.06433,0.00905,0.046592,0.082068
"48",6120,330,0.0612,0.0033,0.054732,0.067668
"45",6114,415,0.06114,0.00415,0.053006,0.069274
"54",5998,670,0.05998,0.0067,0.046848,0.073112
"47",5870,1008,0.0587,0.01008,0.0389432,0.0784568
"52",5591,412,0.05591,0.00412,0.0478348,0.0639852
"57",5179,232,0.05179,0.00232,0.0472428,0.0563372
"44",4648,815,0.04648,0.00815,0.030506,0.062454
"41",4573,823,0.04573,0.00823,0.0295992,0.0618608
"51",4522,569,0.04522,0.00569,0.0340676,0.0563724
"53",4397,737,0.04397,0.00737,0.0295248,0.0584152
"46",4352,943,0.04352,0.00943,0.0250372,0.0620028
"40",3854,522,0.03854,0.00522,0.0283088,0.0487712
"42",3614,603,0.03614,0.00603,0.0243212,0.0479588
"58",3478,790,0.03478,0.0079,0.019296,0.050264
"56",3360,1063,0.0336,0.01063,0.0127652,0.0544348
"61",1959,853,0.01959,0.00853,0.0028712,0.0363088
"39",1690,459,0.0169,0.00459,0.0079036,0.0258964
